"i cockpittet af dit rumskib. Rundt omkring er der en masse udstyr til     navigation og styring af rumskibet.",0,2,0,0,0,0
"i planet-data rummet. Her er store computere med oplysninger om planeter.",1,3,0,0,0,0
"i opholdsrummet. Her er ogs† et lille k›kken.",2,6,5,4,0,7
"i soverummet med toilet.",0,0,3,0,0,0
"i lastrummet med mad og udstyr.",0,0,0,3,0,0
"i maskinrummet. Her er en atom-reaktor og et luftforsyningsanl‘g.",3,0,0,0,0,0
"i det bageste rum i landingskapslen.",8,0,0,0,3,0
"i kontrolrummet i landingskapslen.",0,7,0,0,0,0
"p† en †ben slette. Landingskapslen st†r ved siden af dig. Mod vest t†rner nogle skinnende bjerge op, mod ›st anes en skov.",10,11,13,17,0,7
"p† en slette. Der kommer lidt klipper frem hist og her. Mod nord dukker   h›je klipper op.",18,9,0,0,0,0
"p† en ›de slette. Mod nord skimtes landingskapslen, mod syd er bjergene.",9,19,14,0,0,0
"P† en slette. Mod vest sp‘rres vejen af klipper, mod ›st er udkanten af enskov.",0,13,15,0,0,0
"p† en ›de slette. Jorden er gul og t›r. Mod ›st er en skov, mod syd       forts‘tter sletten, s† langt du kan se.",12,14,16,9,0,0
"p† en ›de slette. Kun mod sydvest skimtes nogle bjerge, ellers er der ›de,s† langt ›jet r‘kker.",13,26,0,11,0,0
"ved udkanten af en skov. Tr‘erne er meget h›je p† grund af den lave       tyngdekraft. Inde i skoven er der m›rkt, og du kan h›re lyde fra fremmede dyr,  og vand der risler.",30,16,0,12,0,0
"ved udkanten af en skov med meget h›je tr‘er. En naturlig sti f›rer ind i skoven mod ›st. Du kan h›re vand der risler, og skrig fra fremmede dyr.",15,32,31,13,0,0
"p† en slette. Mod syd t†rner et h›jt sig bjerg op. Det skinner og bl‘nder dig. Mod vest g†r det stejlt opad.",0,0,9,22,0,0
"ved en klippeskr‘nt. Mod nord har du en fantastisk udsigt over et omr†de  med skove og s›er. L‘ngere mod nord er der diset. Der er omkring 70 meter ned   til en afstats.",0,10,0,0,0,0
"p† vej op i bjergene. Desv‘rre ender vejen forude i en lodret bjergv‘g.   Der er noget, som bev‘ger sig deroppe!",11,0,0,0,0,0
"h›jt oppe i bjerget. L‘ngere oppe begynder det skinnende af bjerget. Her  er udsigt over sletten. En lille prik dernede er landingskapslen.",0,24,0,21,0,0
"p† vej op i bjerget ad en bjergsti. Stien forts‘tter opad mod ›st.",22,0,20,0,0,0
"p† vej op i bjerget. Mod syd f›rer en KUNSTIG BJERGSTI op i bjerget.",0,21,17,0,0,0
"helt oppe p† toppen af bjerget. Udsigten skygges af h›je klipper. Mod syd er en lille †bning i bjerget!",0,25,24,0,0,0
"n‘r toppen af bjerget. Bjerget skinner her, s† du bliver bl‘ndet. Stien   forts‘tter mod vest.",20,0,0,23,0,0
"i en m›rk hule. Her er st›vet og uhyggeligt. Du kan lige skimte en gang   mod ›st og en mod syd.",23,28,27,0,0,0
"p† en ›de slette. Kun mod vest skimtes bjergene. Sletten forts‘tter mod   syd.",14,29,0,0,0,0
"i en b‘lgravende m›rk hule. Efter lyden at d›mme er det en stor hule.",0,0,0,25,0,0
"p† vej hen ad en smal m›rk gang. Det bliver m›rkere mod syd.",25,33,0,0,0,0
"p† en ›de slette. Der er ›de, s† lang ›jet r‘kker.",26,35,34,0,0,0
"inde i skoven. Her er mange s‘re planter og tr‘er.",0,15,0,0,0,0
"inde i skoven. Tr‘erne st†r t‘t og her er m›rkt og fugtigt. En b‘k risler fra ›st mod nord. Stien g†r mod ›st.",36,0,38,16,0,0
"p† en bakke. Mod nord er skoven, mod ›st og syd er der t‘t krat.",16,0,37,0,0,0
"ved en blind ende. Her er helt m›rkt. Du kan h›re en slags svag pippen.",28,0,0,0,0,0
"p† en n‘sten ›de slette.",0,0,0,29,0,0
"p† en ›de slette. Der er ›de, s† langt ›jet r‘kker.",29,0,0,0,0,0
"inde i skoven. B‘kken g†r mod nord›st. Der flyver nogle dyr h›jt oppe i   tr‘erne. Mod ›st er der nogle faretruende planter.",0,31,39,0,0,0
"i et t‘t krat. Du kan kun komme tilbage igen.",0,0,0,32,0,0
"dybt inde i skoven. B‘kken drejer mod syd her.",0,40,0,31,0,0
"langt inde i skoven. Tr‘erne mangler her, men der er fyldt med nogle      underlige planter. HJ’LP! det er k›d‘dende planter! - smulshk - smulshk -       Aaaarghhh.... > BVS < ......",0,0,0,0,0,0
"ved en stor s›, omgivet af krat, undtagen mod nord.",38,0,0,0,0,0
"i en forladt hule i tr‘kronen. Her lugter r†ddent. Rundt omkring ligger   der knogler og grene.",0,0,0,0,0,36
